cell,model,client_count,client_share,gp_total,gp_share
true_positive,baseline_12m_yoy,888,0.27977315689981097,6024358.66863464,0.15820665735699144
false_positive,baseline_12m_yoy,713,0.2246376811594203,5777027.44333074,0.151711452046746
false_negative,baseline_12m_yoy,727,0.22904851921865155,11148825.84716037,0.2927811187467399
true_negative,baseline_12m_yoy,846,0.2665406427221172,15128834.58213797,0.3973007718495226
true_positive,rf_3m_only,1517,0.4779458097038437,16443810.9291645,0.43183357837874015
false_positive,rf_3m_only,1411,0.44454946439823567,19020637.421148747,0.4995040356521887
false_negative,rf_3m_only,98,0.03087586641461878,729373.58663051,0.019154197724991263
true_negative,rf_3m_only,148,0.04662885948330183,1885224.6043199599,0.04950818824407979
true_positive,rf_full,1503,0.4735349716446125,15341210.64763695,0.40287801405459833
false_positive,rf_full,1294,0.4076874606175173,16464197.360417452,0.43236894974710827
false_negative,rf_full,112,0.03528670447385003,1831973.8681580601,0.04810976204913304
true_negative,rf_full,265,0.08349086326402017,4441664.665051261,0.11664327414916036
